"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Peru","Peruvian Yungas","Psittacara mitratus",981.26,537,26,0.95,"50m",0.31,"half-normal key function with cosine(2) adjustments",12.8114281284765,1732.26,1.77,"-"
"Peru","Southwest Amazon moist forests","Ara severus",619.2,204,63,0.92,"100m",0.23,"half-normal key function with cosine(2) adjustments",0.317145083863369,886.96,1.43,"-"
"Peru","Southwest Amazon moist forests","Aratinga weddellii",619.2,115,16,0.47,"50m",0.2,"half-normal key function",5.95277485817078,575,0.93,"-"
"Peru","Southwest Amazon moist forests","Orthopsittaca manilatus",619.2,29,13,0.4,"50m",0.33,"half-normal key function with cosine(2) adjustments",9.17421609786797,87.88,0.14,"-"
"Peru","Southwest Amazon moist forests","Pionus menstruus",619.2,151,50,0.44,"25m",0.21,"half-normal key function with cosine(2,3) adjustments",12.5337094650275,719.05,1.16,"-"
"Peru","Southwest Amazon moist forests","Psittacara leucophthalmus",619.2,267,39,0.08,"50m",0.19,"hazard-rate key function",5.75215333507929,1405.26,2.27,"-"
"Peru","Tumbes-Piura dry forests","Brotogeris pyrrhoptera",317.56,563,24,0.13,"100m",0.46,"hazard-rate key function",0.0477102641678931,1223.91,3.85,"-"
"Peru","Tumbes-Piura dry forests","Forpus coelestis",317.56,297,10,0.74,"50m",0.12,"half-normal key function",1.20355140938975,2475,7.79,"-"
"Peru","Ucayali moist forests","Aratinga weddellii",385.7,261,31,0.97,"100m",0.02,"hazard-rate key function",1.29620226722559,13050,33.83,"-"
"Peru","Ucayali moist forests","Brotogeris cyanoptera",385.7,163,17,0.96,"25m",0.12,"half-normal key function",1.80328296064302,1358.33,3.52,"-"
"Peru","Ucayali moist forests","Pionus menstruus",385.7,30,12,0.64,"25m",0.17,"hazard-rate key function",13.9432075018627,176.47,0.46,"-"
"Sri Lanka","Sri Lanka dry-zone dry evergreen forests","Psittacula eupatria",565.8,67,20,0.87,"100m",0.01,"hazard-rate key function",3.17500385142374,6700,11.84,"-"
"Sri Lanka","Sri Lanka dry-zone dry evergreen forests","Psittacula krameri",565.8,1096,177,0.46,"50m",0.11,"hazard-rate key function",2.92321223439409,9963.64,17.61,"-"
"Sri Lanka","Sri Lanka lowland rain forests","Loriculus beryllinus",373.6,29,14,0.74,"100m",0.14,"half-normal key function",0.00442270829523465,207.14,0.55,"-"
"Uruguay","Uruguayan savanna","Myiopsitta monachus",1057.4,574,132,0.01,"100m",0.02,"hazard-rate key function with group size covariate",0.129548881151462,28700,27.14,"1.1"
