"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Ecuador","Western Ecuador moist forests","Amazona lilacina",219.92,78,8,0.03,"25m",0.67,"half-normal key function",0.595848212595243,116.42,0.53,"-"
"Ecuador","Western Ecuador moist forests","Brotogeris pyrrhoptera",219.92,79,11,0.52,"50m",0.37,"half-normal key function",0.723280303981756,213.51,0.97,"-"
"Ecuador","Western Ecuador moist forests","Forpus coelestis",219.92,122,14,0.38,"100m",0.14,"half-normal key function",0.999921877686463,871.43,3.96,"-"
"India","Himalayan subtropical pine forests","Psittacula cyanocephala",173.67,59,13,0.24,"50m",0.11,"half-normal key function",0.999634494970959,536.36,3.09,"-"
"India","Himalayan subtropical pine forests","Psittacula krameri",173.67,381,62,0.98,"100m",0.2,"half-normal key function",0.00679956311959173,1905,10.97,"-"
"India","Terai-Duar savanna and grasslands","Psittacula cyanocephala",42.35,10,2,1,"25m",0.11,"half-normal key function",0.999998135932685,90.91,2.15,"-"
"India","Terai-Duar savanna and grasslands","Psittacula krameri",42.35,81,17,0.13,"25m",0.27,"half-normal key function",0.31373357365964,300,7.08,"-"
"India","Upper Gangetic Plains moist deciduous forests","Psittacula krameri",177.5,350,114,0.13,"100m",0.13,"half-normal key function",2.50910403565285e-14,2692.31,15.17,"-"
"Panama","Isthmian-Atlantic moist forests","Amazona autumnalis",672.6,334,125,0.56,"50m",0.2,"half-normal key function with cosine(2,3,4) adjustments",0.287769718587711,1670,2.48,"-"
"Panama","Isthmian-Atlantic moist forests","Amazona farinosa",672.6,33,17,0.96,"100m",0.26,"half-normal key function with cosine(2) adjustments",0.137630162160793,126.92,0.19,"-"
"Panama","Isthmian-Atlantic moist forests","Brotogeris jugularis",672.6,362,101,0.59,"25m",0.18,"half-normal key function",0.639389702137372,2011.11,2.99,"-"
"Panama","Isthmian-Atlantic moist forests","Pionus menstruus",672.6,210,82,0.79,"50m",0.2,"half-normal key function with cosine(2,3,4) adjustments",0.042464948339186,1050,1.56,"-"
"Panama","Isthmian-Pacific moist forests","Amazona autumnalis",797.3,407,83,0.4,"50m",0.22,"half-normal key function with cosine(2,3) adjustments",0.501319953954247,1850,2.32,"-"
"Panama","Isthmian-Pacific moist forests","Brotogeris jugularis",797.3,481,98,0.79,"100m",0.16,"half-normal key function",0.241085584486727,3006.25,3.77,"-"
"Panama","Isthmian-Pacific moist forests","Eupsittula pertinax",797.3,456,77,0.92,"100m",0.15,"half-normal key function",0.00103858773870136,3040,3.81,"-"
"Panama","Isthmian-Pacific moist forests","Pionus menstruus",797.3,107,39,0.04,"25m",0.1,"half-normal key function with group size covariate",0.898307112397509,1070,1.34,"-0.25"
"Panama","Isthmian-Pacific moist forests","Psittacara finschi",797.3,64,10,0.38,"50m",0.08,"half-normal key function",0.999999999970511,800,1,"-"
"Panama","Southern Mesoamerican Pacific mangroves","Brotogeris jugularis",62.1,30,10,0.94,"100m",0.15,"half-normal key function",0.999721777895263,200,3.22,"-"
"Panama","Southern Mesoamerican Pacific mangroves","Eupsittula pertinax",62.1,57,17,0.03,"100m",0.18,"half-normal key function",0.98837439761649,316.67,5.1,"-"
"Paraguay","Alto Parana Atlantic forests","Brotogeris chiriri",675.4,60,14,0.01,"25m",0.17,"half-normal key function with cosine(2) adjustments",0.542399652145016,352.94,0.52,"-"
"Paraguay","Alto Parana Atlantic forests","Myiopsitta monachus",675.4,41,20,0.78,"100m",0.13,"half-normal key function",0.999980002803665,315.38,0.47,"-"
"Paraguay","Dry Chaco","Amazona aestiva",566.7,130,46,0.34,"25m",0.1,"half-normal key function",0.999999374932442,1300,2.29,"-"
"Paraguay","Dry Chaco","Myiopsitta monachus",566.7,198,69,0.01,"100m",0.13,"half-normal key function",0,1523.08,2.69,"-"
"Paraguay","Dry Chaco","Thectocercus acuticaudatus",566.7,92,22,0.92,"50m",0.17,"half-normal key function",0.0566946257802357,541.18,0.95,"-"
"Paraguay","Humid Chaco","Aratinga nenday",459,147,29,0.13,"100m",0.25,"half-normal key function with cosine(2) adjustments",0.139899612771833,588,1.28,"-"
"Paraguay","Humid Chaco","Myiopsitta monachus",459,290,62,0.03,"100m",0.13,"half-normal key function",0.999908496348276,2230.77,4.86,"-"
"Peru","Iquitos varzea","Aratinga weddellii",191,188,28,0.38,"25m",0.18,"half-normal key function",0.576922958470105,1044.44,5.47,"-"
"Peru","Iquitos varzea","Brotogeris cyanoptera",191,140,16,0.75,"100m",0.16,"half-normal key function",0.998196935866122,875,4.58,"-"
"Peru","Maranon dry forests","Forpus coelestis",150.99,36,13,0.02,"50m",0.14,"half-normal key function",0.999999350718807,257.14,1.7,"-"
"Peru","Peruvian Yungas","Pionus menstruus",981.26,38,11,0.77,"100m",0.18,"half-normal key function",0.99285755078049,211.11,0.22,"-"
"Peru","Peruvian Yungas","Psittacara leucophthalmus",981.26,165,24,0.01,"100m",0.17,"half-normal key function with group size covariate",0.684524590384306,970.59,0.99,"0.04"
"Peru","Peruvian Yungas","Psittacara mitratus",981.26,537,26,0.95,"50m",0.31,"half-normal key function with cosine(2) adjustments",0.0768383899574531,1732.26,1.77,"-"
"Peru","Southwest Amazon moist forests","Ara severus",619.2,204,63,0.92,"100m",0.23,"half-normal key function with cosine(2) adjustments",0.853361110206607,886.96,1.43,"-"
"Peru","Southwest Amazon moist forests","Aratinga weddellii",619.2,115,16,0.47,"50m",0.2,"half-normal key function",0.652521927344929,575,0.93,"-"
"Peru","Southwest Amazon moist forests","Orthopsittaca manilatus",619.2,29,13,0.4,"50m",0.46,"half-normal key function",0.258291446854143,63.04,0.1,"-"
"Peru","Southwest Amazon moist forests","Pionus menstruus",619.2,151,50,0.44,"25m",0.21,"half-normal key function with cosine(2,3) adjustments",0.706497716197536,719.05,1.16,"-"
"Peru","Southwest Amazon moist forests","Psittacara leucophthalmus",619.2,267,39,0.08,"100m",0.24,"half-normal key function",0.151774742759376,1112.5,1.8,"-"
"Peru","Tumbes-Piura dry forests","Brotogeris pyrrhoptera",317.56,563,24,0.13,"100m",0.33,"half-normal key function",0.635083364935414,1706.06,5.37,"-"
"Peru","Tumbes-Piura dry forests","Forpus coelestis",317.56,297,10,0.74,"50m",0.12,"half-normal key function",0.996606723425066,2475,7.79,"-"
"Peru","Ucayali moist forests","Aratinga weddellii",385.7,261,31,0.97,"50m",0.17,"half-normal key function with cosine(2,3) adjustments",0.163970285023697,1535.29,3.98,"-"
"Peru","Ucayali moist forests","Brotogeris cyanoptera",385.7,163,17,0.96,"25m",0.12,"half-normal key function",0.999999516244287,1358.33,3.52,"-"
"Peru","Ucayali moist forests","Pionus menstruus",385.7,30,12,0.64,"25m",0.33,"half-normal key function",0.665755394245935,90.91,0.24,"-"
"Sri Lanka","Sri Lanka dry-zone dry evergreen forests","Psittacula eupatria",565.8,67,20,0.87,"100m",0.17,"half-normal key function",0.00305378264886846,394.12,0.7,"-"
"Sri Lanka","Sri Lanka dry-zone dry evergreen forests","Psittacula krameri",565.8,1096,177,0.46,"100m",0.14,"half-normal key function",2.94420043900345e-12,7828.57,13.84,"-"
"Sri Lanka","Sri Lanka lowland rain forests","Loriculus beryllinus",373.6,29,14,0.74,"100m",0.14,"half-normal key function",0.999921877686463,207.14,0.55,"-"
"Uruguay","Uruguayan savanna","Myiopsitta monachus",1057.4,574,132,0.01,"50m",0.16,"half-normal key function with cosine(2,3,4) adjustments",5.49659604720532e-07,3587.5,3.39,"-"
