"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Bolivia","Beni savanna","Pionus maximiliani",1148.76,30,13,0.94,"25m",0.32,"half-normal key function",0.80139836775977,93.75,0.08,"-"
"Bolivia","Beni savanna","Pionus menstruus",1148.76,29,12,0.43,"100m",0.14,"half-normal key function",0.99985995517139,207.14,0.18,"-"
"Bolivia","Beni savanna","Primolius auricollis",1148.76,185,39,0.62,"100m",0.23,"half-normal key function",0.995206216050104,804.35,0.7,"-"
"Bolivia","Beni savanna","Psittacara leucophthalmus",1148.76,119,44,0.04,"100m",0.28,"half-normal key function",0.574918333164032,425,0.37,"-"
"Bolivia","Bolivian montane dry forests","Amazona aestiva",1094.36,72,21,0.44,"100m",0.44,"half-normal key function with cosine(2) adjustments",0.823896334127395,163.64,0.15,"-"
"Bolivia","Bolivian montane dry forests","Ara rubrogenys",1094.36,357,28,0.11,"100m",0.54,"half-normal key function",0.0196101374061569,661.11,0.6,"-"
"Bolivia","Bolivian montane dry forests","Brotogeris chiriri",1094.36,282,22,0.11,"100m",0.45,"half-normal key function",0.793019404040299,626.67,0.57,"-"
"Bolivia","Bolivian montane dry forests","Myiopsitta luchsi",1094.36,784,48,0.28,"100m",0.17,"half-normal key function",0.134432257589598,4611.76,4.21,"-"
"Bolivia","Bolivian montane dry forests","Psilopsiagon aymara",1094.36,82,22,0.61,"25m",0.14,"half-normal key function with simple polynomial(2,4) adjustments",0.102361304319933,585.71,0.54,"-"
"Bolivia","Bolivian montane dry forests","Psittacara mitratus",1094.36,879,33,0.54,"100m",0.42,"half-normal key function",0.63423461228104,2092.86,1.91,"-"
"Bolivia","Bolivian montane dry forests","Thectocercus acuticaudatus",1094.36,703,117,0.03,"100m",0.38,"half-normal key function",1.73738790243405e-07,1850,1.69,"-"
"Bolivia","Bolivian Yungas","Brotogeris chiriri",35.88,88,12,0.4,"25m",0.11,"half-normal key function",0.999999996025438,800,22.3,"-"
"Bolivia","Chiquitano dry forests","Amazona aestiva",1096.33,63,20,0.3,"100m",0.29,"half-normal key function with cosine(2) adjustments",0.36061549244715,217.24,0.2,"-"
"Bolivia","Chiquitano dry forests","Brotogeris chiriri",1096.33,426,63,0.77,"100m",0.19,"half-normal key function",0.0524857741563998,2242.11,2.05,"-"
"Bolivia","Chiquitano dry forests","Pionus maximiliani",1096.33,2105,86,0.13,"100m",0.23,"half-normal key function with cosine(2) adjustments",0.868211055752509,9152.17,8.35,"-"
